"ElementsTableOfContentsItem href","sl-flex-1","sl-font-medium"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/11bd8a9bef54e-create-subfolders-for-a-case","Create Subfolders for a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/sdiodtg8282p5-invoices","Invoices",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/163a0a18de0f2-get-invoices","Get Invoices","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/543819f7b6366-delete-an-individual-invoice","Delete an Individual Invoice","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/4c8947bee0ee7-record-a-payment-on-an-invoice","Record a Payment on an Invoice","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/23564c69fb0d2-invoice-payments","InvoicePayments",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/f13cfbcdf1a44-get-invoice-payments","Get Invoice Payments","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/cp3a7j0lwnonq-leads","Leads",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/a5c4816c99361-get-leads","Get Leads","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/90101b75bced9-create-a-lead","Create a Lead","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/a920bc646129f-get-an-individual-lead","Get an Individual Lead","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/c6aee17a9697a-update-an-individual-lead","Update an Individual Lead","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/abk81yr3ewms7-locations","Locations",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/22b2b716050e8-get-locations","Get Locations","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/b031dc04e113c-create-a-location","Create a Location","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/2296adfd5a239-update-an-individual-location","Update an Individual Location","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/754e480b370c7-delete-an-individual-location","Delete an Individual Location","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/h7xra688o4yct-message-threads","Message Threads",""
